title,text,subject,date,isfake
"As U.S. budget fight looms, Republicans flip their fiscal script",the head conserv republican faction us congress vote month huge expans nation debt pay tax cut call fiscal conserv sunday urg budget restraint in keep sharp pivot way among republican us repres mark meadow speak cb face nation drew hard line feder spend lawmak brace battl januari when return holiday wednesday lawmak begin tri pass feder budget fight like link issu immigr polici even novemb congression elect campaign approach republican seek keep control congress presid donald trump republican want big budget increas militari spend democrat also want proport increas nondefens discretionari spend program support educ scientif research infrastructur public health environment protect the trump administr alreadi will say were go increas nondefens discretionari spend percent meadow chairman small influenti hous freedom caucu said program now democrat say that enough need give govern pay rais percent for fiscal conserv i dont see rational is eventu run peopl money said meadow among republican vote late decemb parti debtfinanc tax overhaul expect balloon feder budget deficit add trillion year trillion nation debt it interest hear mark talk fiscal respons democrat us repres joseph crowley said cb crowley said republican tax bill would requir unit state borrow trillion paid futur gener financ tax cut corpor rich thi one least fiscal respons bill weve ever seen pass histori hous repres i think were go pay mani mani year come crowley said republican insist tax packag biggest us tax overhaul year boost economi job growth hous speaker paul ryan also support tax bill recent went meadow make clear radio interview welfar entitl reform parti often call it would top republican prioriti in republican parlanc entitl program mean food stamp hous assist medicar medicaid health insur elderli poor disabl well program creat washington assist needi democrat seiz ryan earli decemb remark say show republican would tri pay tax overhaul seek spend cut social program but goal hous republican may take back seat senat vote democrat need approv budget prevent govern shutdown democrat use leverag senat republican narrowli control defend discretionari nondefens program social spend tackl issu dreamer peopl brought illeg countri children trump septemb put march expir date defer action childhood arriv daca program protect young immigr deport provid work permit the presid said recent twitter messag want fund propos mexican border wall immigr law chang exchang agre help dreamer repres debbi dingel told cb favor link issu polici object wall fund we need daca clean said on wednesday trump aid meet congression leader discuss issu that follow weekend strategi session trump republican leader jan white hous said trump also schedul meet sunday florida republican governor rick scott want emerg aid the hous pass billion aid packag hurrican florida texa puerto rico wildfir california the packag far exceed billion request trump administr the senat yet vote aid,politicsNews,31-Dec-17,0
U.S. military to accept transgender recruits on Monday: Pentagon,transgend peopl allow first time enlist us militari start monday order feder court pentagon said friday presid donald trump administr decid appeal rule block transgend ban two feder appeal court one washington one virginia last week reject administr request put hold order lower court judg requir militari begin accept transgend recruit jan a justic depart offici said administr challeng rule the depart defens announc releas independ studi issu come week so rather litig interim appeal occur administr decid wait dod studi continu defend presid law author district court meantim offici said speak condit anonym in septemb pentagon said creat panel senior offici studi implement direct trump prohibit transgend individu serv the defens depart feb submit plan trump lawyer repres currentlyserv transgend servic member aspir recruit said expect administr appeal rule conservativemajor suprem court hope would happen pentagon spokeswoman heather babb said statement as mandat court order depart defens prepar begin access transgend applic militari servic jan all applic must meet access standard jennif levi lawyer gay lesbian transgend advocaci group glad call decis appeal great news im hope mean govern come see way justifi ban it good militari countri levi said both glad american civil liberti union repres plaintiff lawsuit file administr in move appeal hardlin conserv support trump announc juli would prohibit transgend peopl serv militari revers democrat presid barack obama polici accept them trump said twitter time militari cannot burden tremend medic cost disrupt transgend militari would entail four feder judg baltimor washington dc seattl riversid california issu rule block trump ban legal challeng republican presid polici proceed the judg said ban would like violat right us constitut equal protect law the pentagon dec issu guidelin recruit personnel order enlist transgend applic jan the memo outlin medic requir specifi applic sex would identifi even undergar would wear the trump administr previous said legal paper arm forc prepar train thousand personnel medic standard need process transgend applic might accept some individu medic fit servic the obama administr set deadlin juli begin accept transgend recruit but trump defens secretari jame matti postpon date jan presid ban put indefinit trump taken step aim roll back transgend right in octob administr said feder law ban genderbas workplac discrimin protect transgend employe revers anoth obamaera posit in februari trump rescind guidanc issu obama administr say public school allow transgend student use restroom correspond gender ident,politicsNews,29-Dec-17,0
Senior U.S. Republican senator: 'Let Mr. Mueller do his job',the special counsel investig link russia presid trump elect campaign continu without interfer despit call trump administr alli republican lawmak shut down promin republican senat said sunday lindsey graham serv senat arm forc judiciari committe said depart justic special counsel robert mueller need carri russia investig without polit interfer thi investig go forward it investig conduct without polit influenc graham said cbss face nation news program and need let mr mueller job i think he right guy right time the question russia may interf elect trump campaign may link coordin effort loom white hous sinc trump took offic januari it show sign reced trump prepar second year power despit intensifi rhetor trump alli recent week accus mueller team bia republican presid trump seem undercut support interview last week new york time said expect mueller go fair russia role elect question possibl link trump campaign focu multipl inquiri washington three committe senat hous repres investig well mueller whose team may took earlier probe launch us feder bureau investig fbi sever member trump campaign administr convict indict investig trump alli deni collus russia campaign kremlin deni meddl elect graham said still want examin fbi use dossier link trump russia compil former british spi christoph steel prompt trump alli republican question mueller inquiri on saturday new york time report dossier trigger earli fbi probe tip former trump campaign foreign polici advis georg papadopoulo australian diplomat russia damag inform former trump rival hillari clinton i want somebodi look way depart justic use dossier it bother greatli way use it i want somebodi look it graham said but said russia investig must continu as matter fact would hurt us ignor it said,politicsNews,31-Dec-17,0
FBI Russia probe helped by Australian diplomat tip-off: NYT,trump campaign advis georg papadopoulo told australian diplomat may russia polit dirt democrat presidenti candid hillari clinton new york time report saturday the convers papadopoulo diplomat alexand downer london drive factor behind fbi decis open counterintellig investig moscow contact trump campaign time report two month meet australian offici pass inform came papadopoulo american counterpart leak democrat email began appear onlin accord newspap cite four current former us foreign offici besid inform australian probe feder bureau investig also propel intellig friendli govern includ british dutch time said papadopoulo chicagobas intern energi lawyer plead guilti oct lie fbi agent contact peopl claim tie top russian offici it first crimin charg alleg link trump campaign russia the white hous play former aid campaign role say extrem limit action took would own the new york time howev report papadopoulo help set meet thencandid donald trump egyptian presid abdel fattah alsisi edit outlin trump first major foreign polici speech april the feder investig led special counsel robert mueller hung trump white hous sinc took offic almost year ago some trump alli recent accus mueller team bias republican presid lawyer papadopoulo immedi respond request reuter comment mueller offic declin comment trump white hous attorney ty cobb declin comment new york time report out respect special counsel process comment matter thi said statement mueller charg four trump associ includ papadopoulo investig russia deni interf us elect trump said collus campaign moscow,politicsNews,30-Dec-17,0
Trump wants Postal Service to charge 'much more' for Amazon shipments,presid donald trump call us postal servic friday charg much more ship packag amazon amzno pick anoth fight onlin retail giant critic past whi unit state post offic lose mani billion dollar year charg amazon other littl deliv packag make amazon richer post offic dumber poorer should charg much more trump wrote twitter the presid tweet drew fresh attent fragil financ postal servic time ten million parcel ship countri holiday season the us postal servic run big loss independ agenc within feder govern receiv tax dollar oper expens accord websit packag deliveri becom increasingli import part busi internet led sharp declin amount firstclass letter the presid determin postal rate they set postal regulatori commiss independ govern agenc commission select presid polit parti that panel rais price packag almost percent novemb amazon found jeff bezo remain chief execut offic retail compani richest person world accord bloomberg news bezo also own the washington post newspap trump repeatedli rail critic news media in tweet past year trump said amazon washington post fabric stori he said amazon pay sale tax true hurt retail part pattern former businessman realiti televis host period turn ire big american compani sinc took offic januari daniel ive research analyst gbh insight said trump comment could taken warn retail giant howev said concern amazon we see price hike futur howev risk amazon clearli awar it build distribut system aggress said amazon shown interest past shift deliveri servic includ test drone deliveri in compani spent billion ship percent total oper expens year amazon share percent earli afternoon overal us stock price slightli friday satish jindel presid shipmatrix inc analyz ship data disput idea postal servic charg less unit parcel servic inc upsn fedex corp fdxn biggest player parcel deliveri busi unit state mani custom get lower rate up fedex would get post offic compar servic said the postal servic deliv percent amazon packag million day current peak yearend holiday ship season jindel said the seattlebas compani post offic agreement mail carrier take amazon packag last leg journey post offic custom doorstep amazon no carrier up percent fedex third percent so accord jindel trump comment tap debat whether postal servic price kept pace rise ecommerc flood mail small packagespriv compani like up long claim current system unfairli undercut busi steve gaut spokesman up note compani valu product relationship postal servic file postal regulatori commiss concern postal servic method cover cost repres amazon white hous us postal servic fedex declin comment immedi avail comment trump tweet accord annual report postal servic lost billion year deficit balloon billion while postal servic revenu first class mail market mail period flat declin revenu packag deliveri percent sinc billion fiscal year end sept but also lost billion revenu temporari surcharg expir april accord govern account offic report februari servic face grow personnel expens particularli billion unfund pension benefit liabil the postal servic announc plan cut cost by law postal servic set price packag deliveri cover cost attribut servic but postal servic alloc percent total cost busi ship packag even though line busi percent total revenu,politicsNews,29-Dec-17,0
"White House, Congress prepare for talks on spending, immigration",the white hous said friday set kick talk next week republican democrat congression leader immigr polici govern spend issu need wrap earli new year the expect flurri legisl activ come republican democrat begin set stage midterm congression elect novemb presid donald trump republican parti eager maintain control congress democrat look open wrest seat away senat hous repres on wednesday trump budget chief mick mulvaney legisl affair director marc short meet senat major leader mitch mcconnel hous speaker paul ryan republican democrat counterpart senat chuck schumer repres nanci pelosi white hous said that follow weekend strategi session trump mcconnel ryan jan camp david presidenti retreat maryland accord white hous the senat return work jan hous jan congress pass shortterm govern fund bill last week take christma break need come agreement defens spend variou domest program jan govern shut down also agenda lawmak disast aid peopl hit hurrican puerto rico texa florida wildfir california the hous pass billion packag decemb senat take up the white hous ask smaller figur billion deadlin also loom soontoexpir protect young adult immigr enter countri illeg children known dreamer in septemb trump end democrat former presid barack obama defer action childhood arriv daca program protect dreamer deport provid work permit effect march give congress devis longterm solut democrat republican number larg compani push daca protect continu trump republican said happen without congress approv broader immigr polici chang tougher border secur democrat oppos fund wall promis trump along usmexican border the democrat told fulli understand daca without desper need wall southern border end horribl chain migrat ridicul lotteri system immigr etc trump said twitter post friday trump want overhaul immigr rule extend famili other seek live unit state republican us senat jeff flake frequent critic presid said would work trump protect dreamer we fix daca way beef border secur stop chain migrat dreamer address unfair divers lotteri if potu trump want protect kid want help keep promis flake wrote twitter congress earli also must rais us debt ceil avoid govern default the us treasuri would exhaust borrow option run dri cash pay bill late march earli april congress rais debt ceil then accord nonpartisan congression budget offic trump first major legisl victori passag major tax overhaul month also promis major infrastructur plan,politicsNews,29-Dec-17,0
"Trump says Russia probe will be fair, but timeline unclear: NYT",presid donald trump said thursday believ fairli treat special counsel investig russian meddl us presidenti elect said know long probe would last the feder investig hung trump white hous sinc took offic almost year ago trump alli recent week accus team justic depart special counsel robert mueller bias republican presid but interview new york time trump appear shrug concern investig prompt us intellig agenc conclus russia tri help trump defeat democrat hillari clinton hack releas embarrass email dissemin propaganda there collus but i think he go fair trump said time describ minut impromptu interview golf club west palm beach florida mueller charg four trump associ investig russia deni interf us elect us deputi attorney gener rod rosenstein said month awar improprieti mueller team trump lawyer say week expect mueller investig wrap quickli possibl end mueller comment long last trump told time know long investig would take timingwis i cant tell you i dont know said trump said thought prolong probe make countri look bad said energ core support what it done is it realli anger base made base stronger my base strong it ever been said the interview rare break trump christma vacat florida he golf day asid christma day mainli kept low profil apart occasion flurri tweet he spent one day golf republican senat david perdu georgia push legisl cap immigr number dinner thursday commerc secretari wilbur ross intern trade hawk trump told time hope work democrat us congress spend plan fix road infrastructur protect group undocu immigr brought unit state children trump spoke trade issu say back hard line chines trade practic hope beij would pressur north korea end nuclear missil test program he said disappoint result he also complain north american free trade agreement nafta administr attempt renegoti talk mexico canada trump said canadian prime minist justin trudeau play import canadian oil lumber export unit state look balanc trade two countri if i dont make right deal ill termin nafta two second but were pretti good trump said,politicsNews,29-Dec-17,0
"Factbox: Trump on Twitter (Dec 29) - Approval rating, Amazon",the follow statementswer post verifi twitter account us presid donald trump express ownreut edit statement confirm accuraci love talk socal low approv rate show rate dec approxim presid obama dec and despit massiv neg trump coverag russia hoax est whi unit state post offic lose mani billion dollar year charg amazon other littl deliv packag make amazon richer post offic dumber poorer should charg much more est sourc link,politicsNews,29-Dec-17,0
Trump on Twitter (Dec 28) - Global Warming,the follow statementswer post verifi twitter account us presid donald trump express ownreut edit statement confirm accuraci st could coldest new year eve record perhap could use littl bit good old global warm countri countri go pay trillion of dollar protect against bundl up est sourc link,politicsNews,29-Dec-17,0
Alabama official to certify Senator-elect Jones today despite challenge: CNN,alabama secretari state john merril said certifi democrat senatorelect doug jone winner thursday despit oppon roy moor challeng phone call cnn moor conserv face alleg grope teenag girl s file court challeng late wednesday outcom us senat elect unexpectedli lost,politicsNews,28-Dec-17,0
